Country,Total Species,Species per Sq Km
Albania,59,0.0020486111111111113
Andorra,5,0.010638297872340425
Bosnia and Herzegovina,50,0.0009765625
Croatia,95,0.0016784452296819787
Greece,179,0.001356060606060606
Italy,179,0.0005946843853820598
Malta,33,0.103125
Montenegro,54,0.00391304347826087
North Macedonia,36,0.0014007782101167316
Portugal,196,0.0021258134490238613
San Marino,0,0.0
Serbia,40,0.00045248868778280545
Slovenia,56,0.002705314009661836
Spain,366,0.0007233201581027668
